experimentId,pairId,precision,recall,fMeasure,executionTime,matcher,truePositives,falsePositives,falseNegatives
exp2,cmt-Conference,0.0,0.0,0.0,89,COMA,0,2,15
exp2,cmt-Conference,NaN,0.0,0.0,836,LogMap,0,0,15
exp2,cmt-Conference,NaN,0.0,0.0,66,AML,0,0,15
exp2,cmt-confOf,0.0,0.0,0.0,95,COMA,0,1,16
exp2,cmt-confOf,NaN,0.0,0.0,808,LogMap,0,0,16
exp2,cmt-confOf,NaN,0.0,0.0,44,AML,0,0,16
exp2,cmt-edas,0.6666666666666666,0.15384615384615385,0.25,89,COMA,2,1,11
exp2,cmt-edas,0.6666666666666666,0.15384615384615385,0.25,789,LogMap,2,1,11
exp2,cmt-edas,1.0,0.15384615384615385,0.2666666666666667,118,AML,2,0,11
exp2,cmt-ekaw,1.0,0.09090909090909091,0.16666666666666669,199,COMA,1,0,10
exp2,cmt-ekaw,1.0,0.09090909090909091,0.16666666666666669,1939,LogMap,1,0,10
exp2,cmt-ekaw,1.0,0.09090909090909091,0.16666666666666669,170,AML,1,0,10
exp2,cmt-iasted,0.6666666666666666,0.5,0.5714285714285715,73,COMA,2,1,2
exp2,cmt-iasted,0.5,0.25,0.3333333333333333,933,LogMap,1,1,3
exp2,cmt-iasted,0.2857142857142857,0.5,0.36363636363636365,59,AML,2,5,2
exp2,cmt-sigkdd,0.6666666666666666,0.16666666666666666,0.26666666666666666,74,COMA,2,1,10
exp2,cmt-sigkdd,0.5,0.08333333333333333,0.14285714285714285,858,LogMap,1,1,11
exp2,cmt-sigkdd,0.2857142857142857,0.16666666666666666,0.2105263157894737,63,AML,2,5,10
exp2,conference-confOf,0.0,0.0,0.0,84,COMA,0,1,15
exp2,conference-confOf,NaN,0.0,0.0,857,LogMap,0,0,15
exp2,conference-confOf,NaN,0.0,0.0,74,AML,0,0,15
exp2,conference-edas,0.0,0.0,0.0,68,COMA,0,3,17
exp2,conference-edas,0.0,0.0,0.0,1986,LogMap,0,3,17
exp2,conference-edas,0.0,0.0,0.0,117,AML,0,2,17
exp2,conference-ekaw,0.0,0.0,0.0,125,COMA,0,1,25
exp2,conference-ekaw,NaN,0.0,0.0,802,LogMap,0,0,25
exp2,conference-ekaw,NaN,0.0,0.0,108,AML,0,0,25
exp2,conference-iasted,0.0,0.0,0.0,92,COMA,0,1,14
exp2,conference-iasted,NaN,0.0,0.0,862,LogMap,0,0,14
exp2,conference-iasted,NaN,0.0,0.0,54,AML,0,0,14
exp2,conference-sigkdd,0.0,0.0,0.0,90,COMA,0,1,15
exp2,conference-sigkdd,NaN,0.0,0.0,876,LogMap,0,0,15
exp2,conference-sigkdd,NaN,0.0,0.0,54,AML,0,0,15
exp2,edas-ekaw,0.3333333333333333,0.08695652173913043,0.13793103448275862,163,COMA,2,4,21
exp2,edas-ekaw,0.3333333333333333,0.043478260869565216,0.07692307692307691,943,LogMap,1,2,22
exp2,edas-ekaw,0.6,0.13043478260869565,0.21428571428571427,140,AML,3,2,20
exp2,edas-iasted,0.3333333333333333,0.05263157894736842,0.09090909090909091,129,COMA,1,2,18
exp2,edas-iasted,0.3333333333333333,0.05263157894736842,0.09090909090909091,1691,LogMap,1,2,18
exp2,edas-iasted,0.3333333333333333,0.05263157894736842,0.09090909090909091,70,AML,1,2,18
exp2,edas-sigkdd,0.6666666666666666,0.13333333333333333,0.2222222222222222,93,COMA,2,1,13
exp2,edas-sigkdd,0.6666666666666666,0.13333333333333333,0.2222222222222222,2185,LogMap,2,1,13
exp2,edas-sigkdd,1.0,0.2,0.33333333333333337,49,AML,3,0,12
exp2,ekaw-iasted,0.5,0.1,0.16666666666666669,137,COMA,1,1,9
exp2,ekaw-iasted,NaN,0.0,0.0,1641,LogMap,0,0,10
exp2,ekaw-iasted,0.6666666666666666,0.2,0.30769230769230765,307,AML,2,1,8
exp2,ekaw-sigkdd,0.5,0.09090909090909091,0.15384615384615385,208,COMA,1,1,10
exp2,ekaw-sigkdd,1.0,0.09090909090909091,0.16666666666666669,2058,LogMap,1,0,10
exp2,ekaw-sigkdd,1.0,0.09090909090909091,0.16666666666666669,368,AML,1,0,10
exp2,iasted-sigkdd,0.8,0.26666666666666666,0.4,111,COMA,4,1,11
exp2,iasted-sigkdd,0.75,0.2,0.31578947368421056,945,LogMap,3,1,12
exp2,iasted-sigkdd,0.6666666666666666,0.25,0.36363636363636365,67,AML,4,2,12
