experimentId,pairId,precision,recall,fMeasure,executionTime,matcher,truePositives,falsePositives,falseNegatives
exp1,cmt-Conference,0.6363636363636364,0.4666666666666667,0.5384615384615385,554,COMA,7,4,8
exp1,cmt-Conference,0.039735099337748346,0.4,0.07228915662650602,1595,LogMap,6,145,9
exp1,cmt-Conference,0.75,0.6,0.6666666666666665,246,AML,9,3,6
exp1,cmt-confOf,0.0,0.0,0.0,288,COMA,0,11,16
exp1,cmt-confOf,0.0,0.0,0.0,1129,LogMap,0,151,16
exp1,cmt-confOf,0.0,0.0,0.0,241,AML,0,12,16
exp1,cmt-edas,0.4444444444444444,0.6153846153846154,0.5161290322580646,311,COMA,8,10,5
exp1,cmt-edas,0.046357615894039736,0.5384615384615384,0.08536585365853658,1209,LogMap,7,144,6
exp1,cmt-edas,0.8333333333333334,0.7692307692307693,0.8,341,AML,10,2,3
exp1,cmt-ekaw,0.22727272727272727,0.45454545454545453,0.30303030303030304,262,COMA,5,17,6
exp1,cmt-ekaw,0.039735099337748346,0.5454545454545454,0.07407407407407408,1183,LogMap,6,145,5
exp1,cmt-ekaw,0.75,0.5454545454545454,0.631578947368421,285,AML,6,2,5
exp1,cmt-iasted,0.019867549668874173,0.75,0.03870967741935484,1534,LogMap,3,148,1
exp1,cmt-iasted,0.8,1.0,0.888888888888889,272,AML,4,1,0
exp1,cmt-sigkdd,0.6428571428571429,0.75,0.6923076923076924,839,COMA,9,5,3
exp1,cmt-sigkdd,0.059602649006622516,0.75,0.11042944785276074,1680,LogMap,9,142,3
exp1,cmt-sigkdd,0.9166666666666666,0.9166666666666666,0.9166666666666666,445,AML,11,1,1
exp1,conference-confOf,0.5384615384615384,0.4666666666666667,0.5,933,COMA,7,6,8
exp1,conference-confOf,0.052980132450331126,0.5333333333333333,0.09638554216867469,2070,LogMap,8,143,7
exp1,conference-confOf,0.8666666666666667,0.8666666666666667,0.8666666666666667,500,AML,13,2,2
exp1,conference-edas,0.4444444444444444,0.47058823529411764,0.45714285714285713,436,COMA,8,10,9
exp1,conference-edas,0.059602649006622516,0.5294117647058824,0.10714285714285715,1397,LogMap,9,142,8
exp1,conference-edas,0.7333333333333333,0.6470588235294118,0.6875,469,AML,11,4,6
exp1,conference-ekaw,0.4583333333333333,0.44,0.4489795918367347,320,COMA,11,13,14
exp1,conference-ekaw,0.046357615894039736,0.28,0.07954545454545454,1460,LogMap,7,144,18
exp1,conference-ekaw,0.782608695652174,0.72,0.7499999999999999,579,AML,18,5,7
exp1,conference-iasted,0.026490066225165563,0.2857142857142857,0.048484848484848485,4361,LogMap,4,147,10
exp1,conference-iasted,0.8333333333333334,0.35714285714285715,0.5,738,AML,5,1,9
exp1,conference-sigkdd,0.6153846153846154,0.5333333333333333,0.5714285714285715,697,COMA,8,5,7
exp1,conference-sigkdd,0.059602649006622516,0.6,0.10843373493975905,2911,LogMap,9,142,6
exp1,conference-sigkdd,0.8461538461538461,0.7333333333333333,0.7857142857142856,793,AML,11,2,4
exp1,edas-ekaw,0.4666666666666667,0.56,0.509090909090909,912,COMA,14,16,11
exp1,edas-ekaw,0.07947019867549669,0.5217391304347826,0.13793103448275862,3734,LogMap,12,139,11
exp1,edas-ekaw,0.7857142857142857,0.4782608695652174,0.5945945945945946,1702,AML,11,3,12
exp1,edas-iasted,0.039735099337748346,0.3157894736842105,0.07058823529411765,3405,LogMap,6,145,13
exp1,edas-iasted,0.8181818181818182,0.47368421052631576,0.6,1594,AML,9,2,10
exp1,edas-sigkdd,0.7272727272727273,0.5,0.5925925925925926,3062,COMA,8,3,8
exp1,edas-sigkdd,0.033112582781456956,0.3333333333333333,0.06024096385542169,1824,LogMap,5,146,10
exp1,edas-sigkdd,1.0,0.6666666666666666,0.8,703,AML,10,0,5
exp1,ekaw-iasted,0.033112582781456956,0.5,0.06211180124223604,1549,LogMap,5,146,5
exp1,ekaw-iasted,0.875,0.7,0.7777777777777777,483,AML,7,1,3
exp1,ekaw-sigkdd,0.5,0.6363636363636364,0.56,1096,COMA,7,7,4
