experimentId,pairId,precision,recall,fMeasure,executionTime,matcher,truePositives,falsePositives,falseNegatives
exp2,cmt-Conference,0.6666666666666666,0.13333333333333333,0.2222222222222222,4061,COMA,2,1,13
exp2,cmt-Conference,1.0,0.13333333333333333,0.23529411764705882,4254,LogMap,2,0,13
exp2,cmt-Conference,1.0,0.13333333333333333,0.23529411764705882,3462,AML,2,0,13
exp2,cmt-confOf,0.0,0.0,0.0,437,COMA,0,3,16
exp2,cmt-confOf,0.0,0.0,0.0,1202,LogMap,0,2,16
exp2,cmt-confOf,0.0,0.0,0.0,288,AML,0,2,16
exp2,cmt-edas,0.6666666666666666,0.15384615384615385,0.25,374,COMA,2,1,11
exp2,cmt-edas,0.5,0.15384615384615385,0.23529411764705882,1154,LogMap,2,2,11
exp2,cmt-edas,0.6666666666666666,0.15384615384615385,0.25,2010,AML,2,1,11
exp2,cmt-ekaw,0.6666666666666666,0.18181818181818182,0.28571428571428575,238,COMA,2,1,9
