experimentId,pairId,precision,recall,fMeasure,executionTime,matcher,truePositives,falsePositives,falseNegatives
exp2,cmt-conference,0.6666666666666666,0.4444444444444444,0.5333333333333333,138,COMA,4,2,5
exp2,cmt-conference,0.8,0.4444444444444444,0.5714285714285714,1368,LogMap,4,1,5
exp2,cmt-conference,0.7142857142857143,0.5555555555555556,0.6250000000000001,173,AML,5,2,4
exp2,cmt-confOf,0.8,0.3333333333333333,0.47058823529411764,99,COMA,4,1,8
exp2,cmt-confOf,0.8,0.3333333333333333,0.47058823529411764,740,LogMap,4,1,8
exp2,cmt-confOf,0.6666666666666666,0.3333333333333333,0.4444444444444444,112,AML,4,2,8
exp2,cmt-edas,0.5,0.875,0.6363636363636364,89,COMA,7,7,1
exp2,cmt-edas,1.0,0.75,0.8571428571428571,826,LogMap,6,0,2
exp2,cmt-edas,0.875,0.875,0.875,167,AML,7,1,1
exp2,cmt-ekaw,0.35714285714285715,0.7142857142857143,0.4761904761904762,90,COMA,5,9,2
exp2,cmt-ekaw,1.0,0.7142857142857143,0.8333333333333333,737,LogMap,5,0,2
exp2,cmt-ekaw,1.0,0.8571428571428571,0.923076923076923,133,AML,6,0,1
exp2,cmt-iasted,0.8,1.0,0.888888888888889,75,COMA,4,1,0
exp2,cmt-iasted,1.0,0.25,0.4,813,LogMap,1,0,3
exp2,cmt-iasted,0.8,1.0,0.888888888888889,122,AML,4,1,0
exp2,cmt-sigkdd,0.8571428571428571,0.8571428571428571,0.8571428571428571,88,COMA,6,1,1
exp2,cmt-sigkdd,1.0,0.5714285714285714,0.7272727272727273,1148,LogMap,4,0,3
exp2,cmt-sigkdd,0.875,1.0,0.9333333333333333,118,AML,7,1,0
exp2,conference-confOf,0.75,0.75,0.75,113,COMA,3,1,1
exp2,conference-confOf,1.0,0.5,0.6666666666666666,1888,LogMap,2,0,2
exp2,conference-confOf,0.75,0.75,0.75,154,AML,3,1,1
exp2,conference-edas,0.5714285714285714,0.5,0.5333333333333333,113,COMA,4,3,4
exp2,conference-edas,1.0,0.375,0.5454545454545454,843,LogMap,3,0,5
exp2,conference-edas,0.8333333333333334,0.625,0.7142857142857143,226,AML,5,1,3
exp2,conference-ekaw,0.4,0.25,0.3076923076923077,84,COMA,2,3,6
exp2,conference-ekaw,0.5,0.125,0.2,906,LogMap,1,1,7
exp2,conference-ekaw,0.6,0.375,0.4615384615384615,173,AML,3,2,5
exp2,conference-iasted,0.6666666666666666,0.4,0.5,71,COMA,2,1,3
exp2,conference-iasted,0.0,0.0,0.0,854,LogMap,0,0,0
exp2,conference-iasted,1.0,0.4,0.5714285714285715,129,AML,2,0,3
exp2,conference-sigkdd,1.0,0.5,0.6666666666666666,80,COMA,3,0,3
exp2,conference-sigkdd,0.0,0.0,0.0,822,LogMap,0,0,0
exp2,conference-sigkdd,1.0,0.6666666666666666,0.8,148,AML,4,0,2
exp2,edas-ekaw,0.42857142857142855,0.3,0.3529411764705882,92,COMA,3,4,7
exp2,edas-ekaw,0.75,0.3,0.4285714285714285,845,LogMap,3,1,7
exp2,edas-ekaw,0.75,0.3,0.4285714285714285,210,AML,3,1,7
exp2,edas-iasted,0.75,0.6,0.6666666666666665,81,COMA,3,1,2
exp2,edas-iasted,1.0,0.6,0.7499999999999999,790,LogMap,3,0,2
exp2,edas-iasted,1.0,0.6,0.7499999999999999,216,AML,3,0,2
exp2,edas-sigkdd,0.8333333333333334,0.8333333333333334,0.8333333333333334,74,COMA,5,1,1
exp2,edas-sigkdd,1.0,0.8333333333333334,0.9090909090909091,780,LogMap,5,0,1
exp2,edas-sigkdd,1.0,0.8333333333333334,0.9090909090909091,185,AML,5,0,1
exp2,ekaw-iasted,1.0,0.75,0.8571428571428571,99,COMA,3,0,1
exp2,ekaw-iasted,1.0,0.5,0.6666666666666666,685,LogMap,2,0,2
exp2,ekaw-iasted,1.0,0.75,0.8571428571428571,159,AML,3,0,1
exp2,ekaw-sigkdd,0.7142857142857143,0.7142857142857143,0.7142857142857143,74,COMA,5,2,2
exp2,ekaw-sigkdd,1.0,0.5714285714285714,0.7272727272727273,754,LogMap,4,0,3
exp2,ekaw-sigkdd,1.0,0.7142857142857143,0.8333333333333333,126,AML,5,0,2
