experimentId,pairId,precision,recall,fMeasure,executionTime,matcher,truePositives,falsePositives,falseNegatives
exp3,cmt-conference,0.3333333333333333,0.5,0.4,110,COMA,2,4,2
exp3,cmt-conference,0.6666666666666666,0.5,0.5714285714285715,710,LogMap,2,1,2
exp3,cmt-conference,0.5,0.75,0.6,146,AML,3,3,1
exp3,cmt-confOf,0.8,0.5,0.6153846153846154,87,COMA,4,1,4
exp3,cmt-confOf,0.75,0.375,0.5,834,LogMap,3,1,5
exp3,cmt-confOf,0.875,0.875,0.875,108,AML,7,1,1
exp3,cmt-edas,0.625,0.625,0.625,81,COMA,5,3,3
exp3,cmt-edas,0.8333333333333334,0.625,0.7142857142857143,709,LogMap,5,1,3
exp3,cmt-edas,0.7142857142857143,0.625,0.6666666666666666,136,AML,5,2,3
exp3,cmt-ekaw,0.5,0.3333333333333333,0.4,62,COMA,3,3,6
exp3,cmt-ekaw,1.0,0.3333333333333333,0.5,892,LogMap,3,0,6
exp3,cmt-ekaw,1.0,0.4444444444444444,0.6153846153846153,126,AML,4,0,5
exp3,cmt-iasted,1.0,1.0,1.0,64,COMA,3,0,0
exp3,cmt-iasted,1.0,0.6666666666666666,0.8,730,LogMap,2,0,1
exp3,cmt-iasted,1.0,1.0,1.0,91,AML,3,0,0
exp3,cmt-sigkdd,0.5714285714285714,0.8,0.6666666666666666,66,COMA,4,3,1
exp3,cmt-sigkdd,0.75,0.6,0.6666666666666665,703,LogMap,3,1,2
exp3,cmt-sigkdd,0.6666666666666666,0.8,0.7272727272727272,91,AML,4,2,1
exp3,conference-confOf,0.5,0.2857142857142857,0.36363636363636365,69,COMA,2,2,5
exp3,conference-confOf,0.6666666666666666,0.2857142857142857,0.4,738,LogMap,2,1,5
exp3,conference-confOf,0.8571428571428571,0.8571428571428571,0.8571428571428571,124,AML,6,1,1
exp3,conference-edas,0.75,0.6,0.6666666666666665,80,COMA,6,2,4
exp3,conference-edas,1.0,0.4444444444444444,0.6153846153846153,681,LogMap,4,0,5
exp3,conference-edas,0.875,0.7777777777777778,0.823529411764706,164,AML,7,1,2
exp3,conference-ekaw,0.75,0.6,0.6666666666666665,70,COMA,3,1,2
exp3,conference-ekaw,0.75,0.6,0.6666666666666665,778,LogMap,3,1,2
exp3,conference-ekaw,1.0,0.6,0.7499999999999999,111,AML,3,0,2
exp3,conference-iasted,0.6666666666666666,0.6666666666666666,0.6666666666666666,69,COMA,2,1,1
exp3,conference-iasted,1.0,0.6666666666666666,0.8,697,LogMap,2,0,1
exp3,conference-iasted,1.0,0.6666666666666666,0.8,154,AML,2,0,1
exp3,conference-sigkdd,1.0,0.6,0.7499999999999999,76,COMA,3,0,2
exp3,conference-sigkdd,1.0,0.4,0.5714285714285715,935,LogMap,2,0,3
exp3,conference-sigkdd,1.0,0.6,0.7499999999999999,143,AML,3,0,2
exp3,confOf-edas,0.5,0.625,0.5555555555555556,83,COMA,5,5,3
exp3,confOf-edas,1.0,0.375,0.5454545454545454,827,LogMap,3,0,5
exp3,confOf-edas,1.0,0.75,0.8571428571428571,128,AML,6,0,2
exp3,confOf-ekaw,0.75,0.5,0.6,114,COMA,3,1,3
exp3,confOf-ekaw,0.5,0.16666666666666666,0.25,845,LogMap,1,1,5
exp3,confOf-ekaw,0.6,0.5,0.5454545454545454,82,AML,3,2,3
exp3,confOf-iasted,1.0,1.0,1.0,78,COMA,3,0,0
exp3,confOf-iasted,1.0,0.6666666666666666,0.8,802,LogMap,2,0,1
exp3,confOf-iasted,0.6666666666666666,0.6666666666666666,0.6666666666666666,110,AML,2,1,1
exp3,confOf-sigkdd,0.6666666666666666,0.6666666666666666,0.6666666666666666,147,COMA,2,1,1
exp3,confOf-sigkdd,1.0,0.6666666666666666,0.8,2016,LogMap,2,0,1
exp3,confOf-sigkdd,1.0,1.0,1.0,111,AML,3,0,0
exp3,edas-ekaw,1.0,0.5,0.6666666666666666,71,COMA,3,0,3
exp3,edas-ekaw,0.8,0.6666666666666666,0.7272727272727272,815,LogMap,4,1,2
exp3,edas-ekaw,1.0,0.5,0.6666666666666666,92,AML,3,0,3
exp3,edas-iasted,0.6666666666666666,1.0,0.8,69,COMA,2,1,0
exp3,edas-iasted,0.6666666666666666,1.0,0.8,741,LogMap,2,1,0
exp3,edas-iasted,0.5,1.0,0.6666666666666666,109,AML,2,2,0
exp3,edas-sigkdd,1.0,0.75,0.8571428571428571,71,COMA,3,0,1
exp3,edas-sigkdd,1.0,0.75,0.8571428571428571,795,LogMap,3,0,1
exp3,edas-sigkdd,0.8,1.0,0.888888888888889,276,AML,4,1,0
exp3,ekaw-iasted,1.0,0.5,0.6666666666666666,91,COMA,2,0,2
exp3,ekaw-iasted,1.0,0.25,0.4,736,LogMap,1,0,3
exp3,ekaw-iasted,0.75,0.75,0.75,274,AML,3,1,1
exp3,ekaw-sigkdd,1.0,0.4,0.5714285714285715,82,COMA,2,0,3
exp3,ekaw-sigkdd,1.0,0.2,0.33333333333333337,824,LogMap,1,0,4
exp3,ekaw-sigkdd,1.0,0.4,0.5714285714285715,198,AML,2,0,3
exp3,iasted-sigkdd,0.5454545454545454,0.6666666666666666,0.6,77,COMA,6,5,3
exp3,iasted-sigkdd,1.0,0.4444444444444444,0.6153846153846153,759,LogMap,4,0,5
exp3,iasted-sigkdd,0.8333333333333334,0.5555555555555556,0.6666666666666667,295,AML,5,1,4
